model,task,image_size,augmentation,pretrained,script_filter,accuracy_mean,macro_f1_mean,balanced_accuracy_mean,top5_accuracy_mean,accuracy_std,macro_f1_std,balanced_accuracy_std,top5_accuracy_std,n_seeds,params,seconds
resnet18,unified,128,medium,True,-,0.9929552152972467,0.9910257658690119,0.9909552792593557,0.999101430522608,0.0003049845939988941,0.0011739512733356214,0.0010854608427273715,5.083076566650197e-05,2,11632569,3678.668276786804
resnet18,unified,224,medium,True,-,0.9934584142045864,0.9909374873130976,0.9910174236409106,0.9992092588598951,0.00010166153133288619,0.0010672602305463936,0.0010803154583291941,0.00010166153133296469,2,11632569,4760.402398943901
resnet18,unified,96,medium,True,-,0.991852970071646,0.9879291090784493,0.9877689000074746,0.9991613351544343,0.000915894608756432,0.0015996885124021515,0.0018391907010242609,4.15031463726373e-05,3,11632569,3059.624912261963
resnet18,unified,64,medium,True,-,0.9870366376728249,0.9785308182829615,0.9782982685112018,0.9985862506889033,0.0032795365031846923,0.004258618812737669,0.004344782580487179,0.0001496417223396311,3,11632569,1292.8347618579865
resnet18,unified,48,medium,True,-,0.9840174442287878,0.9702006955101611,0.9704013111418887,0.9981549373397551,0.0004677167061064825,0.0015021197250202573,0.0016906083327323752,0.00033202517098096225,3,11632569,1365.358200152715
resnet18,unified,32,medium,True,-,0.9661419020918697,0.9404933980014922,0.9402904570935599,0.9963338365322407,0.0010441980480435042,0.0013433035662713958,0.001306983461460452,0.00040024184910001097,3,11632569,1286.1475933392842
