stage1_script_accuracy,stage2_accuracy_given_correct_routing,end_to_end_accuracy,error_from_routing,n_test_images,images_missing_stage2,seed,stage1_model
0.9990654877435123,0.9861850625989351,0.9852634605707713,0.013802027172741038,13911,0,0,resnet18
0.9992811444180864,0.9852528595065103,0.9845446049888578,0.01473653942922859,13911,0,1,resnet18
0.9990654877435123,0.985681393006188,0.9847602616634318,0.014305226080080558,13911,0,2,resnet18
