model,feature,classifier,task,image_size,seed,accuracy,macro_f1,balanced_accuracy,top5_accuracy
hog_knn,hog,knn,unified,64,0,0.42977285796434733,0.2930033115052208,0.30273391429069013,0.7001868890166763
hog_random_forest,hog,random_forest,unified,64,0,0.4419206440483036,0.26914082620217405,0.2786382033721175,0.6258625646923519
hog_svm_linear,hog,svm_linear,unified,64,0,0.49374640598044855,0.31694477089460155,0.31744920657073517,
